# timestamp tx ty tz qx qy qz qw
5224.825374 0.000000 0.000000 0.000000 -0.651726 0.238576 0.205685 0.689948
5224.852198 0.016938 -0.003430 -0.006356 -0.652308 0.238868 0.207310 0.688810
5224.888086 0.023759 -0.002675 -0.021565 -0.652719 0.239361 0.209599 0.687555
5224.923474 0.029653 0.009244 -0.014715 -0.652914 0.239135 0.210788 0.687085
5224.954463 0.031950 0.011943 -0.028340 -0.652996 0.239517 0.212404 0.686377
5224.989687 0.043474 0.011681 -0.034769 -0.652610 0.239911 0.214316 0.686011
5225.018948 0.050905 0.021178 -0.035425 -0.652184 0.239723 0.215302 0.686173
5225.056185 0.058867 0.028321 -0.040967 -0.651527 0.239447 0.217151 0.686311
5225.087542 0.056606 0.039883 -0.044884 -0.650840 0.239056 0.218595 0.686641
5225.121763 0.057073 0.027337 -0.047295 -0.650105 0.238612 0.219529 0.687193
5225.156360 0.064776 0.018195 -0.042477 -0.649201 0.238248 0.220464 0.687875
5225.186157 0.070721 0.029024 -0.038451 -0.648440 0.237995 0.221248 0.688428
5225.219951 0.080705 0.022085 -0.034174 -0.647489 0.238134 0.221868 0.689075
5225.251039 0.086399 0.033241 -0.036734 -0.646840 0.238686 0.221447 0.689629
5225.287491 0.085636 0.045555 -0.038130 -0.646130 0.240186 0.220381 0.690115
5225.321571 0.094893 0.053700 -0.041505 -0.645367 0.242435 0.218784 0.690551
5225.356673 0.094954 0.066195 -0.044669 -0.644911 0.245378 0.216364 0.690699
5225.389009 0.096807 0.078877 -0.046806 -0.644900 0.248030 0.214467 0.690355
5225.418691 0.098423 0.091666 -0.049114 -0.644873 0.249789 0.212520 0.690348
5225.453023 0.097799 0.104624 -0.051549 -0.645144 0.251494 0.211341 0.689836
5225.489291 0.102068 0.117049 -0.053024 -0.645393 0.252742 0.210576 0.689382
5225.521578 0.100959 0.129357 -0.048387 -0.645934 0.253203 0.210482 0.688735
5225.556448 0.096098 0.117237 -0.049383 -0.646595 0.253170 0.210828 0.688020
5225.586187 0.096224 0.130230 -0.049455 -0.647083 0.252912 0.211453 0.687464
5225.620168 0.095794 0.142960 -0.051431 -0.647357 0.252835 0.212269 0.686983
5225.654560 0.096595 0.155067 -0.047407 -0.647484 0.253116 0.213273 0.686448
5225.689173 0.100526 0.165011 -0.041097 -0.647839 0.253317 0.213448 0.685985
5225.718342 0.103377 0.174175 -0.033815 -0.648285 0.253402 0.213535 0.685505
5225.752788 0.105969 0.184966 -0.038053 -0.648771 0.253431 0.213685 0.684988
5225.784301 0.108511 0.196007 -0.041022 -0.649443 0.253360 0.213849 0.684325
5225.817942 0.119099 0.192134 -0.039873 -0.650171 0.253414 0.214138 0.683524
5225.856546 0.127032 0.185824 -0.035719 -0.650889 0.253258 0.214151 0.682893
5225.889725 0.130808 0.195279 -0.032401 -0.651675 0.253031 0.214047 0.682260
5225.919971 0.135398 0.186412 -0.029276 -0.652483 0.252727 0.213885 0.681651
5225.954885 0.137684 0.195438 -0.024703 -0.653550 0.252693 0.213551 0.680745
5225.989444 0.138685 0.205220 -0.021691 -0.654302 0.252318 0.213487 0.680182
5226.019021 0.136697 0.215094 -0.023346 -0.654835 0.251796 0.213329 0.679912
5226.056834 0.138920 0.223934 -0.018928 -0.655339 0.251190 0.213426 0.679620
5226.090522 0.140422 0.232755 -0.023459 -0.655871 0.250536 0.213296 0.679389
5226.117404 0.149871 0.229732 -0.023039 -0.656223 0.250069 0.213167 0.679262
5226.156041 0.149705 0.237798 -0.017307 -0.656619 0.249298 0.213135 0.679173
5226.186137 0.143478 0.230160 -0.017730 -0.656961 0.248749 0.213169 0.679033
5226.218271 0.150520 0.237009 -0.018047 -0.657383 0.248346 0.213198 0.678763
5226.252748 0.154956 0.245561 -0.019798 -0.657574 0.247787 0.213328 0.678740
5226.286649 0.153772 0.254969 -0.018374 -0.657826 0.247069 0.213355 0.678750
5226.320993 0.150984 0.263536 -0.015745 -0.657746 0.246484 0.213174 0.679096
5226.353614 0.148558 0.272291 -0.013536 -0.657321 0.246068 0.212952 0.679729
5226.388329 0.152202 0.279246 -0.008522 -0.656609 0.245975 0.212545 0.680577
5226.418216 0.155018 0.287973 -0.007603 -0.655955 0.246176 0.212069 0.681284
5226.452661 0.158495 0.295142 -0.003173 -0.655299 0.246270 0.211379 0.682095
5226.484892 0.161423 0.303527 -0.001124 -0.654788 0.245756 0.210646 0.682997
5226.518574 0.160691 0.295602 -0.005564 -0.654240 0.245341 0.210103 0.683838
5226.552246 0.159117 0.300755 0.001686 -0.653621 0.245036 0.209692 0.684665
5226.587244 0.163822 0.307998 0.004043 -0.652900 0.244624 0.208614 0.685829
5226.618292 0.164208 0.316205 0.007593 -0.652291 0.244726 0.207888 0.686592
5226.652504 0.169370 0.320552 0.001710 -0.651649 0.244342 0.206759 0.687678
5226.689182 0.169433 0.327014 0.007902 -0.651085 0.243951 0.206067 0.688558
5226.723361 0.171842 0.333161 0.013940 -0.650685 0.243681 0.205280 0.689267
5226.753959 0.167540 0.325754 0.011384 -0.650466 0.243508 0.204747 0.689693
5226.788207 0.168057 0.316859 0.011999 -0.650140 0.243157 0.203983 0.690350
5226.823412 0.165205 0.308455 0.012654 -0.649815 0.242872 0.202861 0.691087
5226.851285 0.170279 0.315553 0.014228 -0.649616 0.242632 0.202004 0.691609
5226.884880 0.175380 0.322012 0.017013 -0.649167 0.242433 0.201639 0.692207
5226.918635 0.180359 0.328277 0.019908 -0.648846 0.241944 0.201068 0.692844
5226.954017 0.184924 0.335380 0.020807 -0.648645 0.241543 0.200847 0.693236
5226.989081 0.186835 0.343618 0.021308 -0.648720 0.240784 0.200531 0.693522
5227.018678 0.192471 0.345691 0.015812 -0.648794 0.240450 0.200389 0.693610
5227.055260 0.196036 0.352079 0.018544 -0.648979 0.239903 0.200347 0.693638
5227.086083 0.197937 0.359000 0.021576 -0.649291 0.239942 0.200312 0.693342
5227.119968 0.192905 0.353269 0.020063 -0.649733 0.239807 0.200173 0.693016
5227.154075 0.187956 0.347325 0.020257 -0.650119 0.239685 0.200201 0.692688
5227.186202 0.190140 0.354703 0.019963 -0.650464 0.239664 0.200417 0.692308
5227.221087 0.197248 0.352160 0.021019 -0.650817 0.239814 0.200575 0.691879
5227.251450 0.191115 0.347781 0.020626 -0.650963 0.239727 0.200819 0.691700
5227.285597 0.198242 0.347783 0.018191 -0.651352 0.239785 0.201122 0.691226
5227.317685 0.199050 0.355256 0.018294 -0.651596 0.239608 0.201469 0.690957
5227.351639 0.205282 0.359170 0.019498 -0.651721 0.239343 0.201654 0.690876
5227.386103 0.201824 0.365622 0.020563 -0.651797 0.239066 0.201864 0.690839
5227.420392 0.207914 0.364941 0.016422 -0.651895 0.238931 0.201788 0.690816
5227.451187 0.215069 0.366505 0.015384 -0.652051 0.238976 0.201756 0.690662
5227.487470 0.218285 0.371922 0.019208 -0.652136 0.239119 0.201761 0.690531
5227.518350 0.216585 0.365668 0.015757 -0.652100 0.239093 0.202113 0.690471
5227.551994 0.214892 0.359191 0.012801 -0.651844 0.238703 0.202553 0.690719
5227.585647 0.221164 0.356503 0.010225 -0.651619 0.238479 0.203022 0.690870
5227.619728 0.222282 0.362873 0.013451 -0.651560 0.238182 0.203491 0.690891
5227.652323 0.218925 0.356598 0.014242 -0.651468 0.237889 0.203869 0.690968
5227.687161 0.220096 0.363522 0.014752 -0.651388 0.237719 0.204244 0.690990
5227.722152 0.222479 0.370012 0.014404 -0.651256 0.237563 0.204812 0.691000
5227.752216 0.226814 0.375200 0.013071 -0.651317 0.237521 0.205517 0.690747
5227.783961 0.223175 0.369433 0.012319 -0.651455 0.237252 0.206147 0.690523
5227.817760 0.219434 0.363648 0.012128 -0.651662 0.236764 0.206868 0.690278
5227.855552 0.222451 0.369503 0.010101 -0.652050 0.236184 0.208130 0.689732
5227.884909 0.227644 0.370051 0.005604 -0.652496 0.235659 0.209324 0.689128
5227.919091 0.231820 0.367758 0.000624 -0.653009 0.234933 0.210886 0.688413
5227.954257 0.227402 0.362472 0.000821 -0.653492 0.233957 0.211972 0.687954
5227.988508 0.228969 0.368669 0.003397 -0.653871 0.233082 0.212978 0.687580
5228.017483 0.228984 0.374571 0.006955 -0.654342 0.232299 0.213739 0.687161
5228.051900 0.227980 0.380828 0.009662 -0.654864 0.231702 0.214604 0.686595
5228.084608 0.230720 0.387125 0.009083 -0.655370 0.230916 0.215393 0.686130
5228.118649 0.231301 0.388667 0.015775 -0.655894 0.230597 0.216379 0.685425
5228.153216 0.237564 0.386602 0.013775 -0.656176 0.230394 0.217509 0.684866
5228.187934 0.236623 0.393345 0.014841 -0.656244 0.230127 0.218312 0.684635
5228.218151 0.238440 0.399668 0.016895 -0.656259 0.229810 0.218819 0.684566
5228.252691 0.235818 0.394128 0.013743 -0.656220 0.229384 0.219164 0.684635
5228.288850 0.235260 0.399490 0.017755 -0.656236 0.228877 0.219506 0.684679
5228.317641 0.238911 0.404910 0.018130 -0.656331 0.228542 0.219776 0.684614
5228.351281 0.240444 0.401286 0.012982 -0.656632 0.228080 0.219884 0.684445
5228.385675 0.241030 0.406247 0.008982 -0.656794 0.227794 0.220070 0.684325
5228.420518 0.236854 0.401694 0.007655 -0.656817 0.227280 0.220310 0.684396
5228.450746 0.234768 0.407608 0.007873 -0.656961 0.226845 0.220434 0.684362
5228.487126 0.237679 0.413141 0.008173 -0.657168 0.226163 0.220751 0.684288
5228.519264 0.237002 0.418384 0.011494 -0.657521 0.225597 0.220787 0.684123
5228.555630 0.232612 0.414015 0.010703 -0.657788 0.224821 0.220971 0.684063
5228.584168 0.234883 0.419806 0.010307 -0.657978 0.224168 0.221046 0.684070
5228.618215 0.237215 0.425550 0.010733 -0.658449 0.223683 0.221081 0.683764
5228.652695 0.240419 0.428228 0.015302 -0.658805 0.223125 0.220944 0.683648
5228.688569 0.244604 0.432083 0.017740 -0.659180 0.222632 0.220993 0.683431
5228.721093 0.246291 0.426700 0.015133 -0.659630 0.222132 0.221001 0.683158
5228.750302 0.247451 0.422566 0.019626 -0.660010 0.221830 0.221193 0.682826
5228.784355 0.250603 0.427409 0.021911 -0.660256 0.221399 0.221374 0.682670
5228.818466 0.246479 0.423181 0.020061 -0.660570 0.221035 0.221671 0.682388
5228.852420 0.247333 0.427681 0.015926 -0.660619 0.220538 0.221998 0.682395
5228.886559 0.249016 0.433409 0.017426 -0.660771 0.220067 0.222132 0.682356
5228.921545 0.250022 0.439470 0.017283 -0.660937 0.219596 0.222182 0.682330
5228.951126 0.250876 0.445513 0.016758 -0.661154 0.219213 0.222197 0.682239
5228.986630 0.256006 0.445918 0.013500 -0.661715 0.218754 0.222229 0.681831
5229.016836 0.258408 0.451209 0.015322 -0.662166 0.217833 0.222533 0.681589
5229.055492 0.256577 0.457006 0.015688 -0.663218 0.216338 0.223202 0.680824
